id,record_key,pid,title,office_id,office_code_string,contracting_office_uic,follow_on_or_new,predecessor_refs,valid_from,evidence_id
need:lrae_navwar_2024-06:k:b0c7a4f0b6d9,k:b0c7a4f0b6d9,,STtNG Phase II.5 - PoP Extension,pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row320
need:lrae_navwar_2024-06:k:b9dec07ae5a4,k:b9dec07ae5a4,,C4I TVE CANES TO N0003924F9008 ODC Mod,pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row322
need:lrae_navwar_2024-06:k:e9e82fdb9a1e,k:e9e82fdb9a1e,,GPNTS FY25 Bulk Buy #1 Award and Fund,pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row323
need:lrae_navwar_2024-06:k:8fc782e1984c,k:8fc782e1984c,,ENGINEERING SUPPORT SERVICES. (C),pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,Follow-on,N0017819D7983 N0003921F3008,2024-06-20,ev:lrae_navwar_2024-06:row330
need:lrae_navwar_2024-06:k:1e755910056a,k:1e755910056a,,CSSC Super 8A,pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row405
need:lrae_navwar_2024-06:k:81f204736ee9,k:81f204736ee9,,Order to Contract #N0003922D4001,pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row406
need:lrae_navwar_2024-06:k:28c7d13662d6,k:28c7d13662d6,,N0003924FXXXX-RRT_Upgrade,pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row407
need:lrae_navwar_2024-06:k:90971a1572d2,k:90971a1572d2,,Romania MDA Amendment 2,pmw:740,PMW-740 - PMW-740 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row412
need:lrae_navwar_2024-06:k:75bec4b0a9d0,k:75bec4b0a9d0,,Bahamas MSS 3/4 (New),pmw:740,PMW-740 - PMW-740 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row415
need:lrae_navwar_2024-06:k:a5fdd4a3336b,k:a5fdd4a3336b,,Order to Contract #N0003922D4001 - RPS BU2,pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row416
need:lrae_navwar_2024-06:k:b80ef3598b7c,k:b80ef3598b7c,,DLS_United Kingdom (UK-P-LWZ) SN 2555 R/S Repair,pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row417
need:lrae_navwar_2024-06:k:0cce825ab842,k:0cce825ab842,,ESRP TO39 - Modernization Initiatives-2,pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row418
need:lrae_navwar_2024-06:k:ca1578554aff,k:ca1578554aff,,WAMS Mission Planning System SBIR Phase III,pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row421
need:lrae_navwar_2024-06:k:591df5a087ec,k:591df5a087ec,,Microsoft Services,peo:c4i,C4IEXEC - PEO C4I Front Office - NAVWAR,N00039,Follow-on,N6600119D0019 N0003923F9009,2024-06-20,ev:lrae_navwar_2024-06:row422
need:lrae_navwar_2024-06:k:1186adb04031,k:1186adb04031,,ML2 DO# 24F4010,pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row423
need:lrae_navwar_2024-06:k:15c7ea472201,k:15c7ea472201,,PMW150-Ceiling increase + incremental funding (Fuse Task order 2),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row424
need:lrae_navwar_2024-06:k:d092ea3f708f,k:d092ea3f708f,,LBS-G Maintenance TO 09 (G2 Repairs),pmw:120,PMW-120 - PMW-120 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row425
need:lrae_navwar_2024-06:k:73fa3339d48b,k:73fa3339d48b,,N0003923D1000 MOD,pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row426
need:lrae_navwar_2024-06:k:0376f7105986,k:0376f7105986,,Spanish (SP-B-WAZ) Conversion from LVT(2) to LVT(11),pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row427
need:lrae_navwar_2024-06:k:8cf33ad72896,k:8cf33ad72896,,DLS FSE_Two (2) Korean terminals_troubleshoot,pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row428
need:lrae_navwar_2024-06:k:f47e370469ff,k:f47e370469ff,,N0003923F4063_P00001 RTI Update Effort B-2 RRT Upgrade S/N 0071,pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row429
need:lrae_navwar_2024-06:k:ae7d4df568bb,k:ae7d4df568bb,,"Japan (JA-P-CSX) SN 2567 BU2 Repair, FPR",pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row430
